2025-09-04T01:16:20.035337934Z [err]  time="2025-09-04T01:16:20Z" level=info msg="verify unique constraints" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:71"
2025-09-04T01:16:20.165077843Z [err]  time="2025-09-04T01:16:20Z" level=info msg="setup started" caller="/home/runner/work/zitadel/zitadel/cmd/setup/setup.go:108"
2025-09-04T01:16:20.174776436Z [err]  time="2025-09-04T01:16:20Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=14_events_push
2025-09-04T01:16:20.174785752Z [err]  time="2025-09-04T01:16:20Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=40_init_push_func_v4
2025-09-04T01:16:20.177599000Z [err]  time="2025-09-04T01:16:20Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=01_tables
2025-09-04T01:16:20.177607904Z [err]  time="2025-09-04T01:16:20Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=02_assets
2025-09-04T01:16:20.177614358Z [err]  time="2025-09-04T01:16:20Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=28_add_search_table
2025-09-04T01:16:20.181452880Z [err]  time="2025-09-04T01:16:20Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=31_add_aggregate_index_to_fields
2025-09-04T01:16:20.181459880Z [err]  time="2025-09-04T01:16:20Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=46_init_permission_functions
2025-09-04T01:16:20.181464309Z [err]  time="2025-09-04T01:16:20Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=03_default_instance
